Attrition_Flag,Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerJobLevel,TenureRatio,YearsSincePromotionRatio,IsFrequentTraveler,HasLongCommute,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research_and_Development,Department_Sales,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
1,41,1102,1,2,2,94,3,2,4,5993,19479,8.0,11,3,1,0,8.0,0,1,6,4.0,0.0,5.0,2996.5,0.5714285714285714,0.0,0,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
0,49,279,8,1,3,61,2,2,2,5130,24907,1.0,23,4,4,1,10.0,3,3,10,7.0,1.0,7.0,2565.0,0.6363636363636364,0.09090909090909091,1,0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
1,37,1373,2,2,4,92,2,1,3,2090,2396,6.0,15,3,2,0,7.0,3,3,0,0.0,0.0,0.0,2090.0,0.0,0.0,0,0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
0,33,1392,3,4,4,56,3,1,3,2909,23159,1.0,11,3,3,0,8.0,3,3,8,7.0,3.0,0.0,2909.0,0.7777777777777778,0.3333333333333333,1,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
0,27,591,2,1,1,40,3,1,2,3468,16632,8.5,12,3,4,1,6.0,3,3,2,2.0,2.0,2.0,3468.0,0.6666666666666666,0.6666666666666666,0,0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0,32,1005,2,2,4,79,3,1,4,3068,11864,0.0,13,3,3,0,8.0,2,2,7,7.0,3.0,6.0,3068.0,0.875,0.375,1,0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
0,59,1324,3,3,3,81,4,1,1,2670,9964,4.0,20,4,1,3,12.0,3,2,1,0.0,0.0,0.0,2670.0,0.0,0.0,0,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
0,30,1358,24,1,4,67,3,1,3,2693,13335,1.0,22,4,2,1,1.0,2,3,1,0.0,0.0,0.0,2693.0,0.0,0.0,0,1,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0,38,216,23,3,4,44,2,3,3,9526,8787,0.0,21,4,2,0,10.0,2,3,9,7.0,1.0,8.0,3175.3333333333335,0.7,0.1,1,1,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,36,1299,27,3,3,94,3,2,3,5237,16577,6.0,13,3,2,2,17.0,3,2,7,7.0,7.0,7.0,2618.5,0.875,0.875,0,1,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,35,809,16,3,1,84,4,1,2,2426,16479,0.0,13,3,3,1,6.0,5,3,5,4.0,0.0,3.0,2426.0,0.6666666666666666,0.0,0,0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0,29,153,15,2,4,49,2,2,3,4193,12682,0.0,12,3,4,0,10.0,3,3,9,5.0,0.0,8.0,2096.5,0.5,0.0,0,0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
0,31,670,26,1,1,31,3,1,3,2911,15170,1.0,17,3,4,1,5.0,1,2,5,2.0,4.0,3.0,2911.0,0.3333333333333333,0.6666666666666666,0,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0,34,1346,19,2,2,93,3,1,4,2661,8758,0.0,11,3,3,1,3.0,2,3,2,2.0,1.0,2.0,2661.0,0.6666666666666666,0.3333333333333333,0,0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
1,28,103,24,3,3,50,2,1,3,2028,12947,5.0,14,3,2,0,6.0,4,3,4,2.0,0.0,3.0,2028.0,0.4,0.0,0,1,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
0,29,1389,21,4,2,51,4,3,1,9980,10195,1.0,11,3,3,1,10.0,1,3,10,9.0,7.5,8.0,3326.6666666666665,0.8181818181818182,0.6818181818181818,0,1,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,32,334,5,2,1,80,4,1,2,3298,15053,0.0,12,3,4,2,7.0,5,2,6,2.0,0.0,5.0,3298.0,0.2857142857142857,0.0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,22,1123,16,2,4,96,4,1,4,2935,7324,1.0,13,3,2,2,1.0,2,2,1,0.0,0.0,0.0,2935.0,0.0,0.0,0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0,53,1219,2,4,1,78,2,4,4,15427,22021,2.0,16,3,3,0,28.5,3,3,18,8.0,3.0,7.0,3856.75,0.42105263157894735,0.15789473684210525,0,0,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0,38,371,2,3,4,45,3,1,4,3944,4306,5.0,11,3,3,0,6.0,3,3,3,2.0,1.0,2.0,3944.0,0.5,0.25,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
